run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
58,1,l,0.008833477621397239,0.023214384424846867,0.014320046973086276,0.012797343237155511,0.006439878284986997,0.008833477621397239,0.004847915305798987
58,1,l2,0.12331681397713329,0.20300661026802394,0.15822176966065796,0.15343139066684286,0.08309000266296675,0.12331681397713329,0.013663892467846767
58,1,fg,0.007895293911274802,0.022539448230712536,0.013339998814821473,0.011694238613832926,0.005881509192871911,0.007895293911274802,0.0043330291688899285
58,1,fg2,0.15216704440294382,0.24710284855547088,0.19390954109644587,0.1883483367585169,0.10396498431796548,0.15216704440294382,0.016860589118507675
58,1,eb,0,NaN,NaN,0,0,0,0
58,1,eb2,0.34859770280776237,1,0.5904216313853705,0.5169780462802014,0.34859770280776237,0.34859770280776237,1.953121967425006e-9
58,1,im,0,NaN,NaN,0,0,0,0
58,1,im2,0,NaN,NaN,0,0,0,0
58,1,lp,0,NaN,NaN,0,0,0,0
58,1,lp2,0,NaN,NaN,0,0,0,0
58,1,le,0,NaN,NaN,0,0,0,0
58,1,le2,0.16743862352367572,0.28762644979366797,0.21945335915053427,0.21166105537995764,0.1183562299622838,0.16743862352367572,0.006825167325928937
58,1,sl,0.005307931472301852,0.014609460638055223,0.008806021571293612,0.007786763998461864,0.003908599670831548,0.005307931472301852,0.0029130545555889537
58,1,sl2,0.006343913513043391,0.01717540377439474,0.010438356005442585,0.009265513515101506,0.004654319085747045,0.006343913513043391,0.0034816135543323462
57,1,wt,0.3460987808535432,1,0.5883016070465414,0.5142249376885797,0.3460987808535432,0.3460987808535432,1.9391210164022232e-9
57,1,wt2,0,NaN,NaN,0,0,0,0
57,1,l,0.025807413204131133,0.03993362587280407,0.0321027036811331,0.03135282308004194,0.015926075249855037,0.025807413204131133,0.017299226407053947
57,1,l2,0.16387491604308493,0.2843873117732243,0.21587947294857787,0.20793162550226432,0.11602884603135831,0.16387491604308493,0.014866396978902977
57,1,fg,0.020666896027124338,0.048420095811754355,0.0316337333516758,0.0289690738916146,0.014697422302150938,0.020666896027124338,0.011342233021631242
57,1,fg2,0.18446293943135286,0.3187442294343135,0.24247989089455438,0.23368704233993545,0.13230217291137014,0.18446293943135286,0.016734100322961198
57,1,eb,0,NaN,NaN,0,0,0,0
57,1,eb2,0.3441243985589642,0.9913021942775534,0.5840644411329494,0.5108948304996135,0.34308848089690347,0.3441243985589642,2.3549365246967534e-9
57,1,im,0,NaN,NaN,0,0,0,0
57,1,im2,0,NaN,NaN,0,0,0,0
57,1,lp,0,NaN,NaN,0,0,0,0
57,1,lp2,0,NaN,NaN,0,0,0,0
57,1,le,0.018556372724097943,0.04266908992048118,0.028138648445909756,0.025864517870902642,0.013101693427346668,0.018556372724097943,0.010183953274682758
57,1,le2,0.17885139368674363,0.3394864751031173,0.24640947467577728,0.23427819137253902,0.13268125829778882,0.17885139368674363,0.002681979813479065
