run,alpha,method,accuracies,c_count
28,1,eb2,0.96,48
28,1,im,0.32,1
28,1,im2,0.32,1
28,1,lp,0.32,1
28,1,lp2,1,50
28,1,sl,0.34,3
28,1,sl2,0.34,3
27,1,wt,0.24,2
27,1,wt2,0.24,1
27,1,l,0.28,3
27,1,l2,0.42,7
27,1,fg,0.24,2
27,1,fg2,0.42,8
27,1,eb,0.24,1
27,1,eb2,0.9,43
27,1,im,0.24,1
27,1,im2,0.24,1
27,1,lp,0.24,1
27,1,lp2,1,50
27,1,sl,0.24,2
27,1,sl2,0.28,3
26,1,wt,0.28,2
26,1,wt2,0.26,1
26,1,l,0.32,3
26,1,l2,0.42,7
26,1,fg,0.3,2
26,1,fg2,0.38,6
26,1,eb,0.26,1
26,1,eb2,1,50
26,1,im,0.26,1
26,1,im2,0.26,1
26,1,lp,0.26,1
26,1,lp2,1,50
26,1,sl,0.36,4
26,1,sl2,0.32,3
25,1,wt,0.32,2
25,1,wt2,0.26,1
25,1,l,0.32,3
25,1,l2,0.34,7
25,1,fg,0.34,2
25,1,fg2,0.34,6
25,1,eb,0.26,1
25,1,eb2,1,50
25,1,im,0.26,1
25,1,im2,0.26,1
25,1,lp,0.26,1
25,1,lp2,1,50
25,1,sl,0.36,2
25,1,sl2,0.36,2
