run,alpha,method,accuracies
919,1,eb,0.3
919,1,eb2,0.96
919,1,im,0.3
919,1,im2,0.3
919,1,lp,0.3
919,1,lp2,1
919,1,sl,0.32
919,1,sl2,0.34
918,1,wt,0.3
918,1,wt2,0.28
918,1,l,0.28
918,1,l2,0.36
918,1,fg,0.28
918,1,fg2,0.38
918,1,eb,0.28
918,1,eb2,0.92
918,1,im,0.28
918,1,im2,0.28
918,1,lp,0.28
918,1,lp2,1
918,1,sl,0.34
918,1,sl2,0.32
917,1,wt,0.4
917,1,wt2,0.32
917,1,l,0.32
917,1,l2,0.4
917,1,fg,0.32
917,1,fg2,0.42
917,1,eb,0.32
917,1,eb2,0.84
917,1,im,0.32
917,1,im2,0.32
917,1,lp,0.32
917,1,lp2,1
917,1,sl,0.38
917,1,sl2,0.38
916,1,wt,0.36
916,1,wt2,0.32
916,1,l,0.32
916,1,l2,0.48
916,1,fg,0.34
916,1,fg2,0.38
916,1,eb,0.32
916,1,eb2,0.98
916,1,im,0.32
916,1,im2,0.32
916,1,lp,0.32
916,1,lp2,1
916,1,sl,0.32
916,1,sl2,0.32
915,1,wt,0.26
915,1,wt2,0.26
915,1,l,0.26
915,1,l2,0.38
915,1,fg,0.26
915,1,fg2,0.36
915,1,eb,0.26
915,1,eb2,1
915,1,im,0.26
915,1,im2,0.26
915,1,lp,0.26
915,1,lp2,1
915,1,sl,0.32
915,1,sl2,0.3
914,1,wt,0.32
914,1,wt2,0.24
914,1,l,0.34
914,1,l2,0.46
914,1,fg,0.28
914,1,fg2,0.44
914,1,eb,0.24
914,1,eb2,1
914,1,im,0.24
914,1,im2,0.24
914,1,lp,0.24
914,1,lp2,1
914,1,sl,0.34
914,1,sl2,0.34
913,1,wt,0.34
913,1,wt2,0.28
913,1,l,0.34
913,1,l2,0.46
913,1,fg,0.4
913,1,fg2,0.4
913,1,eb,0.28
913,1,eb2,0.98
913,1,im,0.28
913,1,im2,0.28
913,1,lp,0.28
913,1,lp2,1
913,1,sl,0.34
913,1,sl2,0.4
912,1,wt,0.3
912,1,wt2,0.28
912,1,l,0.38
912,1,l2,0.44
912,1,fg,0.3
912,1,fg2,0.44
912,1,eb,0.28
912,1,eb2,0.92
912,1,im,0.28
912,1,im2,0.28
912,1,lp,0.28
912,1,lp2,1
912,1,sl,0.36
912,1,sl2,0.36
911,1,wt,0.3
911,1,wt2,0.28
911,1,l,0.34
911,1,l2,0.4
911,1,fg,0.32
911,1,fg2,0.4
911,1,eb,0.28
911,1,eb2,0.96
911,1,im,0.28
911,1,im2,0.28
911,1,lp,0.28
